City of Shoalhaven - Ward 1,145
City of Shoalhaven - Ward 2,131
City of Shoalhaven - Ward 3,
City of Shoalhaven Mayoral,403
Singleton,55
Singleton Mayoral,
Snowy Monaro Regional,45
Snowy Valleys,13
Strathfield,197
Sutherland Shire - A Ward,311
Sutherland Shire - B Ward,280
Sutherland Shire - C Ward,283
Sutherland Shire - D Ward,201
Sutherland Shire - E Ward,235
City of Sydney,2003
City of Sydney Mayoral,2003
Tamworth Regional,194
Temora,13
Tenterfield - Ward D,
The Hills Shire - Central Ward,312
The Hills Shire - East Ward,
The Hills Shire - North Ward,360
The Hills Shire - West Ward,
The Hills Shire Mayoral,
Tweed,166
Upper Hunter Shire,47
Upper Lachlan Shire,
Uralla - Ward A,
Uralla - Ward B,
Uralla Mayoral,
City of Wagga Wagga,229
Walcha - B Ward,
Walcha - D Ward,
Walgett,23
Warren - A Ward,
Warren - B Ward,
Warren - D Ward,
Warrumbungle Shire,30
Waverley - Bondi Ward,117
Waverley - Hunter Ward,
Waverley - Lawson Ward,
Waverley - Waverley Ward,74
Weddin,23
Wentworth,12
City of Willoughby - Middle Harbour Ward,81
City of Willoughby - Naremburn Ward,43
City of Willoughby - Sailors Bay Ward,86
City of Willoughby - West Ward,88
City of Willoughby Mayoral,
Wollondilly - East Ward,95
Wollondilly - North Ward,116
Wollondilly Mayoral,211
City of Wollongong - Ward 1,345
City of Wollongong - Ward 2,438
City of Wollongong - Ward 3,304
City of Wollongong Mayoral,
Woollahra - Bellevue Hill Ward,
Woollahra - Cooper Ward,69
Woollahra - Double Bay Ward,
Woollahra - Paddington Ward,
Woollahra - Vaucluse Ward,
Yass Valley,70
